Date,Open,High,Low,Close,Volume
1984-12-31,11543,11992.3095703125,11543,11992.3095703125,0
1985-01-31,11946.9599609375,12321.919921875,11823.4296875,12321.919921875,0
1985-02-28,12412.1396484375,12604.01953125,12263.849609375,12580.759765625,0
1985-03-31,12677.150390625,12683.259765625,12052.8203125,12426.2900390625,0
1985-04-30,12456.650390625,12790.26953125,12358.0302734375,12758.4599609375,0
1985-05-31,12473.41015625,12910.2900390625,12473.41015625,12882.08984375,0
1985-06-30,12919.0302734375,13029.650390625,12232.26953125,12232.26953125,0
1985-07-31,12538.33984375,12734.0498046875,12326.7099609375,12713.150390625,0
1985-08-31,12726.6396484375,12755.599609375,12453.849609375,12700.1103515625,0
1985-09-30,12685.3603515625,13055.51953125,12685.3603515625,12936.4697265625,0
1985-10-31,12808.099609375,12892.400390625,12589.509765625,12763.26953125,0
1985-11-30,12796.919921875,13128.9404296875,12774.5498046875,13083.1796875,0
1985-12-31,13053.7900390625,13056.419921875,12881.5,13024.2998046875,0
1986-01-31,13086.4697265625,13642.1396484375,13086.4697265625,13640.830078125,0
1986-02-28,13757.6298828125,15859.75,13757.6298828125,15859.75,0
1986-03-31,15745.8701171875,15827.2802734375,15014.0595703125,15825.5,0
1986-04-30,15782.650390625,16670.76953125,15689.98046875,16670.76953125,0
1986-05-31,16739.26953125,17654.189453125,16669.5390625,17654.189453125,0
1986-06-30,17622.740234375,18050.58984375,17469.8203125,17509.7109375,0
1986-07-31,17321.9296875,18936.240234375,17263.099609375,18533.6796875,0
1986-08-31,18820.75,18820.75,17336.619140625,17852.859375,0
1986-09-30,17564.390625,17650.23046875,15819.5498046875,16910.630859375,0
1986-10-31,16902,18326,16713.7109375,18326,0
1986-11-30,18307.98046875,18933.0703125,18190.970703125,18701,0
1986-12-31,18820.55078125,20048.349609375,18544.05078125,20024,0
1987-01-31,20072.08984375,20767,19457,20767,0
1987-02-28,20933.8203125,22184,20933.8203125,21566.66015625,0
1987-03-31,22040.1796875,24097.7890625,22040.1796875,23274.830078125,0
1987-04-30,23680.890625,24902,23419.599609375,24902,0
1987-05-31,24992.779296875,25929.419921875,24176.400390625,24176.400390625,0
1987-06-30,24252.380859375,24636.4609375,22702.740234375,24488.109375,0
1987-07-31,24492,26048,24172.599609375,26029.220703125,0
1987-08-31,26118.419921875,26118.419921875,24795.240234375,26010.880859375,0
1987-09-30,25721.740234375,26646.4296875,21910.080078125,23329,0
1987-10-31,23358.599609375,23358.599609375,21036.759765625,22686.779296875,0
1987-11-30,22832.890625,23280.83984375,21515,21564,0
1987-12-31,21217.0390625,23728,21217.0390625,23719,0
1988-01-31,23732.3203125,25289,23595.369140625,25242.810546875,0
1988-02-29,25435.900390625,26320.0703125,25284,26260.259765625,0
1988-03-31,26104.220703125,27510,26064,27510,0
1988-04-30,27520.7109375,27967.25,26928.8203125,27416.69921875,0
1988-05-31,27427.7890625,28394.720703125,27177.5390625,27769.400390625,0
1988-06-30,27779.16015625,28206.919921875,27109.310546875,28200,0
1988-07-31,28234.4609375,28475.6796875,27265.779296875,27365.94921875,0
