Date,Open,High,Low,Close,Volume
2019-05-31,1548,1621,1545,1612,1059440
2019-06-30,1637,1655,1570,1606,2123600
2019-07-31,1598,1609,1495,1553,1349420
2019-08-31,1547,1679,1541,1646,1542680
2019-09-30,1652,1730,1617,1725,2091730
2019-10-31,1716,1781,1715,1758,1488860
2019-11-30,1766,1813,1751,1784,2224310
2019-12-31,1784,1807,1713,1730,2096740
2020-01-31,1702,1793,1542,1554,1714320
2020-02-29,1528,1597,1232,1463,4872940
2020-03-31,1441,1541,1369,1520,2986510
2020-04-30,1514,1645,1476,1625,1426790
2020-05-31,1626,1699,1592,1618,2903580
2020-06-30,1624,1644,1540,1540,2024940
2020-07-31,1557,1686,1553,1664,2685560
2020-08-31,1660,1733,1640,1687,2104030
2020-09-30,1687,1725,1638,1642,1295360
2020-10-31,1654,1862,1654,1818,3902140
2020-11-30,1830,1891,1819,1878,3475830
2020-12-31,1878,1947,1846,1863,1830300
2021-01-31,1864,2038,1862,1924,1712270
2021-02-28,1952,2079,1920,2038,3142890
2021-03-31,2055,2072,1957,1974,1838400
2021-04-30,1974,2036,1924,2005,3014720
2021-05-31,2012,2067,1970,2028,2927470
2021-06-30,2033,2058,1943,1963,3544960
2021-07-31,1984,2034,1937,2025,3191440
2021-08-31,2027,2189,2027,2116,2892220
2021-09-30,2092,2125,2005,2081,3148590
2021-10-31,2118,2147,2002.5,2002.5,4024960
2021-11-30,2011,2096.5,1991,2073.5,2940720
2021-12-31,2073.5,2127,1893,1959,2886780
2022-01-31,1974.5,2033,1902.5,1949,1594570
2022-02-28,1967,2070,1812,2030,2472770
2022-03-31,2016.5,2055,1923,1981.5,1712140
2022-04-30,1981,2012.5,1907,1996,1943860
2022-05-31,2000.5,2066,1889,1998,3397170
2022-06-30,1960,2021,1921,2000.5,2022780
2022-07-31,2004.5,2070,1985,2025,3549130
2022-08-31,2004.5,2051,1895,1913,2967670
2022-09-30,1905.5,2014.5,1893,2011.5,1537090
2022-10-31,2016.5,2110.5,1989.5,2071,1839320
2022-11-30,2086.5,2089,1965,1976,1438410
