Date,Open,High,Low,Close,Volume
2022-06-01,12750.3095703125,12897.6298828125,11037.2099609375,11503.7197265625,113875890000
2022-07-01,11472.6298828125,12986.6396484375,11366.0703125,12947.9697265625,94293720000
2022-08-01,12877.0400390625,13720.91015625,12240.8203125,12272.0302734375,110367680000
2022-09-01,12158.8798828125,12752.830078125,10966.9501953125,10971.2197265625,98888530000
2022-10-01,11059.169921875,11681.849609375,10440.6396484375,11405.5703125,98292380000
2022-11-01,11571.5302734375,12031.33984375,10632.3896484375,12030.0595703125,101572370000
2022-12-01,12030.240234375,12166.41015625,10671.1904296875,10939.759765625,100007430000
2023-01-01,11038.419921875,12248.150390625,10696.419921875,12101.9296875,106732920000
2023-02-01,12087.919921875,12880.98046875,11900.83984375,12042.1201171875,99644100000
2023-03-01,12026.7197265625,13188.830078125,11695.41015625,13181.349609375,120323510000
2023-04-01,13084.099609375,13247.3896484375,12724.240234375,13245.990234375,90509520000
2023-05-01,13229.1103515625,14520.169921875,12938.4501953125,14254.08984375,101290320000
2023-06-01,14269.08984375,15284.650390625,14219.9404296875,15179.2099609375,107650300000
2023-07-01,15190.5400390625,15932.0498046875,14924.6396484375,15757,96983440000
2023-08-01,15696.98046875,15748.4296875,14557.830078125,15501.0703125,110754840000
2023-09-01,15600.9501953125,15618.849609375,14432.599609375,14715.240234375,94727650000
2023-10-01,14717.900390625,15333.98046875,14058.330078125,14409.7802734375,97818540000
2023-11-01,14453.6796875,16166.509765625,14441.8896484375,15947.8701171875,95884580000
2023-12-01,15892.58984375,16969.169921875,15695.580078125,16825.9296875,120361680000
2024-01-01,16667.30078125,17665.259765625,16249.1904296875,17137.240234375,111351260000
2024-02-01,17216.990234375,18091.619140625,17175.830078125,18043.849609375,106763830000
2024-03-01,18069.2890625,18464.69921875,17764.990234375,18254.689453125,106387420000
2024-04-01,18280.8203125,18391.580078125,16973.939453125,17440.689453125,107535290000
2024-05-01,17382.779296875,18907.5390625,17284.369140625,18536.650390625,140039820000
2024-06-01,18666.720703125,20017.7109375,18392.5703125,19682.869140625,107772060000
2024-07-01,19720.109375,20690.970703125,18667.220703125,19362.4296875,119005630000
2024-08-01,19375.970703125,19938.890625,17435.390625,19574.640625,121239310000
2024-09-01,19438.109375,20273.30078125,18400.970703125,20060.689453125,110388680000
2024-10-01,20046.060546875,20600.099609375,19622.2890625,19890.419921875,132373190000
2024-11-01,19955.830078125,21182.029296875,19898.5703125,20930.369140625,146515010000
2024-12-01,20971.759765625,22133.220703125,20913.720703125,21012.169921875,159134440000
2025-01-01,21120.05078125,21945.48046875,20538.330078125,21478.05078125,161608850000
2025-02-01,21084.640625,22222.609375,20407.44921875,20884.41015625,150047820000
2025-03-01,20989.580078125,21073.80078125,18799.19921875,19278.44921875,158800650000
2025-04-01,19192.76953125,19707.33984375,16542.19921875,19571.01953125,196411380000
2025-05-01,19866.830078125,21611.5390625,19605.0703125,21340.990234375,196031780000
2025-06-01,21270.5703125,22721.5,21199.369140625,22679.009765625,184980880000
2025-07-01,22594.48046875,23589.369140625,22388.08984375,23218.119140625,209936950000
2025-08-01,22941.060546875,23969.279296875,22673.880859375,23415.419921875,176309030000
2025-09-01,23020.470703125,24781.73046875,22977.880859375,24679.990234375,192919050000
2025-10-01,24539.25,26182.099609375,24207.150390625,25858.130859375,242736420000
2025-11-01,26114.109375,26132.869140625,23854.029296875,25434.890625,176367050000
2025-12-01,25232.75,25835.029296875,24647.609375,25249.849609375,168780390000
