Date,Open,High,Low,Close,Volume
2022-05-31,2000.5,2066,1889,1998,3397170
2022-06-30,1960,2021,1921,2000.5,2022780
2022-07-31,2004.5,2070,1985,2025,3549130
2022-08-31,2004.5,2051,1895,1913,2967670
2022-09-30,1905.5,2014.5,1893,2011.5,1537090
2022-10-31,2016.5,2110.5,1989.5,2071,1839320
2022-11-30,2086.5,2089,1965,1976,1438410
2022-12-31,1976,2055.5,1945,2037.5,2741230
2023-01-31,2051.5,2068.5,2024,2056.5,1350560
2023-02-28,2055,2139.5,1972,2094.5,3055640
2023-03-31,2107,2149,2046,2149,3401150
2023-04-30,2162.5,2287.5,2160.5,2225.5,3191670
2023-05-31,2225.5,2420,2224,2394,5552780
2023-06-30,2412.5,2430,2292,2398,5161060
2023-07-31,2405.5,2417,2303,2410,3316300
2023-08-31,2406.5,2521,2406.5,2425,1582290
2023-09-30,2436.5,2458,2292.5,2353.5,2666580
2023-10-31,2399.5,2509.5,2396,2480,2055790
2023-11-30,2490,2493.5,2394.5,2470,2087330
2023-12-31,2470,2655,2439,2639,3133860
2024-01-31,2619.5,2785,2613.5,2766.5,2343690
2024-02-29,2770.5,2919,2709,2888.5,3225920
2024-03-31,2878,2906,2713,2864.5,3970600
2024-04-30,2846,2912,2817.5,2882.5,2270970
2024-05-31,2919.5,2952.5,2813,2938,2601200
2024-06-30,2962,3081,2789,2898.5,4061440
2024-07-31,2867,2867,2230,2794,4532490
2024-08-31,2825,2867,2596.5,2756,2761950
2024-09-30,2780,2875,2722,2813.5,5719490
2024-10-31,2773,2895,2757,2791,1563660
2024-11-30,2806.5,2940,2793,2914.5,1827850
2024-12-31,2914.5,2925.5,2743.5,2890,2552610
2025-01-31,2840,2887.5,2764,2779,1585260
2025-02-28,2811,2921,2713,2776,932850
2025-03-31,2818.5,2822.5,2330,2791.5,3419980
2025-04-30,2796.5,2948,2783,2930.5,2202000
2025-05-31,2913.5,3008,2874,2987,1775970
2025-06-30,2984,3090,2908,3048,2398420
2025-07-31,3040,3238,2981.5,3184,2011620
2025-08-31,3165,3317,3150,3275,1911480
2025-09-30,3258,3498,3209,3481,2580264
2025-10-31,3481,3543,3344,3527,2510098
2025-11-30,3525,3592,3476,3565,2053653
