Date,Open,High,Low,Close,Volume
2024-05-31,38734.94921875,39788.62890625,37950.19921875,39583.078125,2209000000
2024-06-30,39839.8203125,42426.76953125,37611.19140625,39101.8203125,2570500000
2024-07-31,38781.55859375,38781.55859375,31156.119140625,38647.75,3034000000
2024-08-31,39025.30859375,39829.55859375,35247.87109375,37919.55078125,2365000000
2024-09-30,38232.46875,40257.33984375,37651.0703125,39081.25,2613600000
2024-10-31,38504.3515625,39884.01171875,37801.62109375,38208.03125,2649300000
2024-11-30,38216.94921875,40398.23046875,37958.55078125,39894.5390625,2568500000
2024-12-31,39945.421875,40288.80078125,38055.6796875,39572.48828125,2191000000
2025-01-31,38932.66015625,39581.46875,36840.12109375,37155.5,2515300000
2025-02-28,37617.5,38220.69140625,35541.71875,35617.55859375,2625600000
2025-03-31,35961.19140625,36075.26171875,30792.740234375,36045.37890625,3179700000
2025-04-30,36197.0390625,38494.05859375,36040.05078125,37965.1015625,2710000000
2025-05-31,37651.1796875,40852.5390625,37320.71875,40487.390625,2401100000
2025-06-30,40340.640625,42065.828125,39288.8984375,41069.8203125,2634100000
2025-07-31,41029.83984375,43876.421875,39850.51953125,42718.46875,2659500000
2025-08-31,42362.7109375,45852.75,41835.171875,44932.62890625,2488800000
2025-09-30,44831.94921875,52411.33984375,44357.6484375,52411.33984375,3069700000
2025-10-31,52294.30859375,52636.87109375,48235.30078125,50253.91015625,2646400000
2025-11-30,50318.58984375,51127.69140625,48643.78125,50339.48046875,2469200000
2025-12-31,51010.28125,54487.3203125,50995.671875,53322.8515625,2711800000
2026-01-31,53575.37109375,59332.4296875,52655.1796875,58850.26953125,3056200000
2026-02-28,57976.19921875,58365.2109375,50558.91015625,51063.71875,3414100000
2026-03-31,51959.46875,60903.94921875,51902.83984375,59284.921875,3119600000
2026-04-30,59379.12109375,66505.0234375,59263.5,66329.5,3394400000
2026-05-31,66363.4296875,72831.7265625,62335.75,70062.3203125,3677000000
2026-06-30,70774.28125,71962.34375,60448.8984375,64362.01953125,3703200000
2026-07-31,63834.94921875,69608.2421875,62703.46875,66016.359375,2456900000
2026-08-25,65195.26171875,65904.2421875,64609.46875,65856.4296875,0
