Date,Open,High,Low,Close,Volume
2024-05-31,2919.5,2952.5,2813,2938,2601200
2024-06-30,2962,3081,2789,2898.5,4061440
2024-07-31,2867,2867,2230,2794,4532490
2024-08-31,2825,2867,2596.5,2756,2761950
2024-09-30,2780,2875,2722,2813.5,5719490
2024-10-31,2773,2895,2757,2791,1563660
2024-11-30,2806.5,2940,2793,2914.5,1827850
2024-12-31,2914.5,2925.5,2743.5,2890,2552610
2025-01-31,2840,2887.5,2764,2779,1585260
2025-02-28,2811,2921,2713,2776,932850
2025-03-31,2818.5,2822.5,2330,2791.5,3419980
2025-04-30,2796.5,2948,2783,2930.5,2202000
2025-05-31,2913.5,3008,2874,2987,1775970
2025-06-30,2984,3090,2908,3048,2398420
2025-07-31,3040,3238,2981.5,3184,2011620
2025-08-31,3165,3317,3150,3275,1911480
2025-09-30,3258,3498,3209,3481,2580264
2025-10-31,3481,3543,3344,3527,2510098
2025-11-30,3525,3592,3476,3565,2053653
2025-12-31,3565,3810,3565,3705,1947366
2026-01-31,3739,4083,3664,4083,2955560
2026-02-28,3989,4042,3572,3659,3764358
2026-03-31,3785,4001,3764,3895,3713217
2026-04-30,3895,4173,3864,4130,1005816
2026-05-31,4136,4302,3945,4210,2189809
2026-06-30,4221,4338,4003,4149,2491129
2026-07-31,4124,4378,4025,4222,830998
2026-08-25,4239,4253,4210,4253,125332
