Date,Open,High,Low,Close,Volume
2017-05-31,1619,1680,1619,1663,2452680
2017-06-30,1664,1681,1646,1654,1514790
2017-07-31,1656,1679,1625,1653,2439010
2017-08-31,1660,1728,1615,1726,2489100
2017-09-30,1728,1826,1721,1819,2870140
2017-10-31,1831,1900,1789,1848,3018000
2017-11-30,1861,1889,1815,1874,4011940
2017-12-31,1874,1958,1874,1881,2648110
2018-01-31,1895,1917,1733,1812,2352400
2018-02-28,1799,1799,1685,1774,2144510
2018-03-31,1775,1839,1744,1836,1314020
2018-04-30,1833,1882,1790,1808,1360120
2018-05-31,1804,1865,1770,1790,1262360
2018-06-30,1786,1820,1683,1798,2686870
2018-07-31,1810,1820,1710,1780,1990900
2018-08-31,1775,1891,1717,1879,2126000
2018-09-30,1875,1901,1635,1702,4251370
2018-10-31,1696,1745,1651,1723,2245860
2018-11-30,1746,1753,1459,1547,3814640
2018-12-31,1547,1615,1497,1606,1541380
2019-01-31,1606,1666,1575,1649,1419930
2019-02-28,1653,1672,1610,1650,1131290
2019-03-31,1675,1694,1658,1677,2214510
2019-04-30,1677,1677,1563,1567,1944960
2019-05-31,1548,1621,1545,1612,1059440
2019-06-30,1637,1655,1570,1606,2123600
2019-07-31,1598,1609,1495,1553,1349420
2019-08-31,1547,1679,1541,1646,1542680
2019-09-30,1652,1730,1617,1725,2091730
2019-10-31,1716,1781,1715,1758,1488860
2019-11-30,1766,1813,1751,1784,2224310
2019-12-31,1784,1807,1713,1730,2096740
2020-01-31,1702,1793,1542,1554,1714320
2020-02-29,1528,1597,1232,1463,4872940
2020-03-31,1441,1541,1369,1520,2986510
2020-04-30,1514,1645,1476,1625,1426790
2020-05-31,1626,1699,1592,1618,2903580
2020-06-30,1624,1644,1540,1540,2024940
2020-07-31,1557,1686,1553,1664,2685560
2020-08-31,1660,1733,1640,1687,2104030
2020-09-30,1687,1725,1638,1642,1295360
2020-10-31,1654,1862,1654,1818,3902140
2020-11-30,1830,1891,1819,1878,3475830
